symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 14:44:00+00:00,239.27,239.59,239.27,239.4701,247751.0,6878.0,239.463374
TSLA,2023-08-14 14:45:00+00:00,239.5,239.74,239.41,239.44,343426.0,7350.0,239.574429
TSLA,2023-08-14 14:46:00+00:00,239.4399,239.6,239.12,239.489,305556.0,6608.0,239.369565
TSLA,2023-08-14 14:47:00+00:00,239.4899,239.57,239.22,239.4,220063.0,5861.0,239.377685
TSLA,2023-08-14 14:48:00+00:00,239.3912,239.6599,239.15,239.22,261637.0,5229.0,239.448686
TSLA,2023-08-14 14:49:00+00:00,239.25,239.46,239.2101,239.46,148731.0,4533.0,239.335103
TSLA,2023-08-14 14:50:00+00:00,239.47,239.63,239.2691,239.5852,208039.0,4783.0,239.429784
TSLA,2023-08-14 14:51:00+00:00,239.5938,240.09,239.58,239.91,529507.0,6402.0,239.86986
TSLA,2023-08-14 14:52:00+00:00,239.9093,240.37,239.89,240.285,420449.0,4621.0,240.193799
TSLA,2023-08-14 14:53:00+00:00,240.285,240.66,240.285,240.44,383853.0,4562.0,240.445098
TSLA,2023-08-14 14:54:00+00:00,240.452,240.55,240.26,240.41,256403.0,3131.0,240.411143
TSLA,2023-08-14 14:55:00+00:00,240.4,240.62,240.1511,240.23,332843.0,3301.0,240.371399
TSLA,2023-08-14 14:56:00+00:00,240.25,240.2575,239.83,239.97,303510.0,3786.0,240.028536
TSLA,2023-08-14 14:57:00+00:00,239.95,240.1,239.7,239.7,267195.0,3442.0,239.882645
TSLA,2023-08-14 14:58:00+00:00,239.7252,240.0499,239.7,239.96,200209.0,2737.0,239.865594
TSLA,2023-08-14 14:59:00+00:00,239.96,240.02,239.7501,239.96,187688.0,2288.0,239.923486
TSLA,2023-08-14 15:00:00+00:00,239.96,240.03,239.74,239.88,219704.0,3056.0,239.884304
TSLA,2023-08-14 15:01:00+00:00,239.9358,239.9982,239.62,239.77,282677.0,3365.0,239.79693
TSLA,2023-08-14 15:02:00+00:00,239.78,239.97,239.662,239.85,239821.0,2668.0,239.832999
TSLA,2023-08-14 15:03:00+00:00,239.855,239.9,239.6301,239.6707,149428.0,2040.0,239.769915
TSLA,2023-08-14 15:04:00+00:00,239.69,239.88,239.32,239.765,303007.0,3506.0,239.559703
